Year,Elevation,Quantity (Kg),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,2022-2
2014-01,Total,25516597.0,,,,,,,,,,,,,,,
2014-02,High,5445202.0,,,,,,,,,,,,,,,
2014-02,Medium,3322063.0,,,,,,,,,,,,,,,
2014-02,Low,13832658.0,,,,,,,,,,,,,,,
2014-02,Total,22599923.0,,,,,,,,,,,,,,,
2014-03,High,6286805.0,,,,,,,,,,,,,,,
2014-03,Medium,4093831.0,,,,,,,,,,,,,,,
2014-03,Low,15379954.0,,,,,,,,,,,,,,,
2014-03,Total,25760590.0,,,,,,,,,,,,,,,
2014-04,High,7510259.0,,,,,,,,,,,,,,,
2014-04,Medium,4240054.0,,,,,,,,,,,,,,,
2014-04,Low,17772459.0,,,,,,,,,,,,,,,
2014-04,Total,29522772.0,,,,,,,,,,,,,,,
2014-05,High,10004451.0,,,,,,,,,,,,,,,
2014-05,Medium,6613542.0,,,,,,,,,,,,,,,
2014-05,Low,22625700.0,,,,,,,,,,,,,,,
2014-05,Total,39243694.0,,,,,,,,,,,,,,,
2014-06,High,8074759.0,,,,,,,,,,,,,,,
2014-06,Medium,4753911.0,,,,,,,,,,,,,,,
2014-06,Low,18167455.0,,,,,,,,,,,,,,,
2014-06,Total,30996125.0,,,,,,,,,,,,,,,
2014-07,High,5758869.0,,,,,,,,,,,,,,,
2014-07,Medium,3885244.0,,,,,,,,,,,,,,,
2014-07,Low,19359634.0,,,,,,,,,,,,,,,
2014-07,Total,29003746.0,,,,,,,,,,,,,,,
2014-08,High,4187078.0,,,,,,,,,,,,,,,
2014-08,Medium,2760640.0,,,,,,,,,,,,,,,
2014-08,Low,16877253.0,,,,,,,,,,,,,,,
2014-08,Total,23824971.0,,,,,,,,,,,,,,,
2014-09,High,5613476.0,,,,,,,,,,,,,,,
2014-09,Medium,4021652.0,,,,,,,,,,,,,,,
2014-09,Low,19451044.0,,,,,,,,,,,,,,,
2014-09,Total,29086173.0,,,,,,,,,,,,,,,
2014-10,High,6497528.0,,,,,,,,,,,,,,,
2014-10,Medium,4190602.0,,,,,,,,,,,,,,,
2014-10,Low,17504652.0,,,,,,,,,,,,,,,
2014-10,Total,28192781.0,,,,,,,,,,,,,,,
2014-11,High,7274890.0,,,,,,,,,,,,,,,
2014-11,Medium,4492329.0,,,,,,,,,,,,,,,
2014-11,Low,18209669.0,,,,,,,,,,,,,,,
2014-11,Total,29976887.0,,,,,,,,,,,,,,,
2014-12,High,5835008.0,,,,,,,,,,,,,,,
2014-12,Medium,3093491.0,,,,,,,,,,,,,,,
2014-12,Low,15378825.0,,,,,,,,,,,,,,,
2014-12,Total,24307323.0,,,,,,,,,,,,,,,
2015-01,High,4853340.0,,,,,,,,,,,,,,,
2015-01,Medium,3194718.0,,,,,,,,,,,,,,,
2015-01,Low,15252077.0,,,,,,,,,,,,,,,
2015-01,Total,23300135.0,,,,,,,,,,,,,,,
2015-02,High,6293412.0,,,,,,,,,,,,,,,
2015-02,Medium,4398983.0,,,,,,,,,,,,,,,
2015-02,Low,14920546.0,,,,,,,,,,,,,,,
2015-02,Total,25612940.0,,,,,,,,,,,,,,,
2015-03,High,6938414.0,,,,,,,,,,,,,,,
2015-03,Medium,4788305.0,,,,,,,,,,,,,,,
2015-03,Low,18710443.0,,,,,,,,,,,,,,,
2015-03,Total,30437162.0,,,,,,,,,,,,,,,
2015-04,High,8300502.0,,,,,,,,,,,,,,,
2015-04,Medium,5685615.0,,,,,,,,,,,,,,,
2015-04,Low,17641071.0,,,,,,,,,,,,,,,
2015-04,Total,31627188.0,,,,,,,,,,,,,,,
2015-05,High,8216222.0,,,,,,,,,,,,,,,
2015-05,Medium,5339899.0,,,,,,,,,,,,,,,
2015-05,Low,18875640.0,,,,,,,,,,,,,,,
2015-05,Total,32431761.0,,,,,,,,,,,,,,,
2015-06,High,7638658.0,,,,,,,,,,,,,,,
2015-06,Medium,4829657.0,,,,,,,,,,,,,,,
2015-06,Low,17111042.0,,,,,,,,,,,,,,,
2015-06,Total,29579357.0,,,,,,,,,,,,,,,
2015-07,High,5100175.0,,,,,,,,,,,,,,,
2015-07,Medium,3827270.0,,,,,,,,,,,,,,,
2015-07,Low,17387424.0,,,,,,,,,,,,,,,
2015-07,Total,26314869.0,,,,,,,,,,,,,,,
2015-08,High,4743767.0,,,,,,,,,,,,,,,
2015-08,Medium,3551565.0,,,,,,,,,,,,,,,
2015-08,Low,18131177.0,,,,,,,,,,,,,,,
2015-08,Total,26426509.0,,,,,,,,,,,,,,,
2015-09,High,5857291.0,,,,,,,,,,,,,,,
2015-09,Medium,4043581.0,,,,,,,,,,,,,,,
2015-09,Low,17312479.0,,,,,,,,,,,,,,,
2015-09,Total,27213351.0,,,,,,,,,,,,,,,
2015-10,High,6160253.0,,,,,,,,,,,,,,,
2015-10,Medium,4304333.0,,,,,,,,,,,,,,,
